laptop_name,laptop_url,laptop_price,laptop_manufacturer,laptop_resolution,laptop_processor_class,laptop_ram_type,laptop_ram,laptop_storage,laptop_graphic_card,laptop_graphic_card_memory,laptop_image_link
Lenovo Ideapad C340-14API Black 81N600ATPB PL,https://www.senukai.lt/p/lenovo-ideapad-c340-14api-black-81n600atpb-pl/e8p3?cat=5ei&index=1,646.57,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,8,256,Radeon Vega 3,Dynamic,https://ksd-images.lt/display/aikido/store/1e3628060337b388dd4ffbce4f20f608.jpg?h=742&w=816
Lenovo IdeaPad 3-15ADA 81W1005JPB PL,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005jpb-pl/eya2?cat=5ei&index=2,605.99,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/ef589af039d4378bddae5bd98343aa85.jpg?h=742&w=816
Huawei MateBook D14 R5/8GB/512GB/W10,https://www.senukai.lt/p/huawei-matebook-d14-r5-8gb-512gb-w10/do63?cat=5ei&index=3,694.1,Huawei,1920 x 1080,AMD Ryzen 5,DDR4,8,512,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/37f561b059462c7efb623ba7fed5e8d5.jpg?h=742&w=816
Nešiojamas kompiuteris Asus VivoBook D509DA Slate Gray,https://www.senukai.lt/p/nesiojamas-kompiuteris-asus-vivobook-d509da-slate-gray/f570?cat=5ei&index=4,529,Asus,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/d5e6b9e521c76e4c6d0ca6601e523427.jpg?h=742&w=816
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008FLT,https://www.senukai.lt/p/lenovo-ideapad-5-15are-platinum-grey-81yq008flt/f11x?cat=5ei&index=5,519,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,4,128,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/b1ea3457ce283ee48adbd40318ccfb8b.jpg?h=742&w=816
Lenovo Ideapad L340-17API Black 81LY003LPB,https://www.senukai.lt/p/lenovo-ideapad-l340-17api-black-81ly003lpb/cz60?cat=5ei&index=6,613.19,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,8,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/329303cc3fb55ba23bf4c4debe00cd10.jpg?h=742&w=816
Lenovo IdeaPad 3-17ADA Platinum Gray 81W20019PB PL,https://www.senukai.lt/p/lenovo-ideapad-3-17ada-platinum-gray-81w20019pb-pl/emij?cat=5ei&index=7,627,Lenovo,1600 x 900,AMD Ryzen 3,DDR4,8,256,AMD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/93c8c033271c8b9a99735e9d4f640b62.jpg?h=742&w=816
Acer Nitro 5 AN515-55-516M Black,https://www.senukai.lt/p/acer-nitro-5-an515-55-516m-black/fbsf?cat=5ei&index=8,889,Acer,1920 x 1080,Intel® Core™ i5,DDR4,8,512,GeForce GTX 1650,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/dce631b8e5353847acf954c6066fcd05.jpg?h=742&w=816
Acer Aspire 5 A515-55 Black NX.HSKEL.006,https://www.senukai.lt/p/acer-aspire-5-a515-55-black-nx-hskel-006/ds2p?cat=5ei&index=9,749,Acer,1920 x 1080,Intel® Core™ i5,DDR4,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/e440cbb9fa6a365aa48cb9b260a64bc7.jpg?h=742&w=816
Asus 14 X409MA-EB215T Slate Grey,https://www.senukai.lt/p/asus-14-x409ma-eb215t-slate-grey/f29g?cat=5ei&index=10,419.99,Asus,1920 x 1080,Pentium®,SODIMM,4,128,Intel UHD Graphics 605,Dynamic,https://ksd-images.lt/display/aikido/store/399bea8bb6c0597ffe013cf6544847ba.jpg?h=742&w=816
Lenovo Ideapad S540-14API 81NH003TPB Mineral Grey,https://www.senukai.lt/p/lenovo-ideapad-s540-14api-81nh003tpb-mineral-grey/co3n?cat=5ei&index=11,675.99,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,8,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/d4f746e59da86f5ad9a6cda2b2367a19.jpg?h=742&w=816
Lenovo IdeaPad 3-15IIL Grey 81WE0063PB PL,https://www.senukai.lt/p/lenovo-ideapad-3-15iil-grey-81we0063pb-pl/ep8p?cat=5ei&index=12,635,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,256,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/1f78d76f1fc145d54236b924a11e97a3.jpg?h=742&w=816
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008HLT EN,https://www.senukai.lt/p/lenovo-ideapad-5-15are-platinum-grey-81yq008hlt-en/ewh9?cat=5ei&index=13,619.99,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,8,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/1b2ec2527f0c52ab159a751b8a9d006d.jpg?h=742&w=816
Lenovo Legion Y540-15IRH-PG0 (81SY00Q5PB) PL,https://www.senukai.lt/p/lenovo-legion-y540-15irh-pg0-81sy00q5pb-pl/eeq2?cat=5ei&index=14,819.57,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,256,GeForce GTX 1650,4 GB GDDR5,https://ksd-images.lt/display/aikido/store/5ae3dee2210143dbf434f70302102488.jpg?h=742&w=816
"Apple MacBook Air 13.3"" Retina DC / i3 1.1GHz / 8GB / 256 SSD / ENG Space Gray",https://www.senukai.lt/p/apple-macbook-air-13-3-retina-dc-i3-1-1ghz-8gb-256-ssd-eng-space-gray/eket?cat=5ei&index=15,1137.34,Apple,2560 x 1600,Intel® Core™ i3,LPDDR4X,8,256,Iris Plus,Dynamic,https://ksd-images.lt/display/aikido/store/d5b99ed370f39ae224d6a5be93a43acb.jpg?h=742&w=816
Kompiuteris nešiojamas ASUS TUF Gaming FX505du,https://www.senukai.lt/p/kompiuteris-nesiojamas-asus-tuf-gaming-fx505du/c943?cat=5ei&index=16,1299,Asus,1920 x 1080,AMD Ryzen 7,DDR4,16,512,GeForce GTX 1660 Ti,6 GB GDDR6,https://ksd-images.lt/display/aikido/store/df312697ed9861caa1bf641e04ab2840.jpg?h=742&w=816
Lenovo Ideapad S540-14API Grey 81NH004APB|12 PL,https://www.senukai.lt/p/lenovo-ideapad-s540-14api-grey-81nh004apb-12-pl/ex8o?cat=5ei&index=17,758.66,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,12,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/0171ceac349cc3c011ad949fc53b29f0.jpg?h=742&w=816
Kompiuteris Nešiojamas HP 255 G7 Ryzen 3 256GB W10,https://www.senukai.lt/p/kompiuteris-nesiojamas-hp-255-g7-ryzen-3-256gb-w10/ffgl?cat=5ei&index=18,699,HP,1080x1920,AMD Ryzen 3,DDR4,8,256,Radeon Vega 3,,https://ksd-images.lt/display/aikido/store/8a5f75498a18a41e857d82d03c22c7c4.jpg?h=742&w=816
Lenovo IdeaPad 5-15IIL Granite Black 81YK0066PB PL,https://www.senukai.lt/p/lenovo-ideapad-5-15iil-granite-black-81yk0066pb-pl/ep88?cat=5ei&index=19,717.61,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/6ed79ac7e13b894ad2e8baf010915035.jpg?h=742&w=816
Lenovo IdeaPad 3-15 ILL Grey 81WE00H6PB,https://www.senukai.lt/p/lenovo-ideapad-3-15-ill-grey-81we00h6pb/ey02?cat=5ei&index=20,655.49,Lenovo,1920 x 1080,Intel® Core™ i3,DDR4,8,256,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/2ac50a647ba8663f6d27f01e899cc672.jpg?h=742&w=816
"Apple MacBook Air 13.3"" Retina DC / i3 1.1GHz / 8GB / 256 SSD / ENG Gold",https://www.senukai.lt/p/apple-macbook-air-13-3-retina-dc-i3-1-1ghz-8gb-256-ssd-eng-gold/ekev?cat=5ei&index=21,1206.01,Apple,2560 x 1600,Intel® Core™ i3,LPDDR4X,8,256,Iris Plus,Dynamic,https://ksd-images.lt/display/aikido/store/63bef11f65b0678fcb821d8cfbfda5a3.jpg?h=742&w=816
Lenovo IdeaPad 3-15ADA 81W1005KPB,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005kpb/f7we?cat=5ei&index=22,479,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon Vega 3,Dynamic,https://ksd-images.lt/display/aikido/store/f4021f84a9e303c55d778b5397343c16.jpg?h=742&w=816
Nešiojamas kompiuteris Acer Aspire 7 A715-41G Charcoal Black,https://www.senukai.lt/p/nesiojamas-kompiuteris-acer-aspire-7-a715-41g-charcoal-black/ewym?cat=5ei&index=23,999,Acer,1920 x 1080,AMD Ryzen 7,DDR4,8,512,GeForce GTX 1650Ti,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/06bf0ae0fb0e763de957cca9d5469e74.jpg?h=742&w=816
Nešiojamas kompiuteris Asus TUF Gaming FA506II Black,https://www.senukai.lt/p/nesiojamas-kompiuteris-asus-tuf-gaming-fa506ii-black/e99h?cat=5ei&index=24,999,Asus,1920 x 1080,AMD Ryzen 5,DDR4,8,512,GeForce GTX 1650Ti,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/5d2d55cb5055888756c5c4aa40deb15c.jpg?h=742&w=816
Lenovo Yoga Slim 7-14IIL 82A10064PB PL,https://www.senukai.lt/p/lenovo-yoga-slim-7-14iil-82a10064pb-pl/fcz8?cat=5ei&index=25,841.1,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,256,Iris Plus,Dynamic,https://ksd-images.lt/display/aikido/store/5e2a83f9924530ccc3d6d0f4bc0dbdc7.jpg?h=742&w=816
Asus VivoBook Flip 14 Bespoke Black TM420IA-EC134T,https://www.senukai.lt/p/asus-vivobook-flip-14-bespoke-black-tm420ia-ec134t/f7bj?cat=5ei&index=26,607,Asus,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/6cf7b719c13161afeda880d32d52626d.jpg?h=742&w=816
Kompiuteris Lenovo Thinkpad E15 R3 Dos,https://www.senukai.lt/p/kompiuteris-lenovo-thinkpad-e15-r3-dos/ffgn?cat=5ei&index=27,599,Lenovo,1080x1920,AMD Ryzen 3,DDR4,8,256,AMD Graphics,,https://ksd-images.lt/display/aikido/store/3a1fc92364dd5b2c707797ec8dd56b1a.jpg?h=742&w=816
Nešiojamas kompiuteris Lenovo IP 3 Ryzen 3 256gb DOS,https://www.senukai.lt/p/nesiojamas-kompiuteris-lenovo-ip-3-ryzen-3-256gb-dos/f4ks?cat=5ei&index=28,549,Lenovo,1080x1920,AMD Ryzen 3,DDR4,4,256,AMD Graphics,,https://ksd-images.lt/display/aikido/store/89d9c0eafa636ab052fb771ccc364ec3.jpg?h=742&w=816
Asus ZenBook 14 UX425JA-HM254T Pine Grey,https://www.senukai.lt/p/asus-zenbook-14-ux425ja-hm254t-pine-grey/f2lo?cat=5ei&index=29,895.15,Asus,1920 x 1080,Intel® Core™ i5,LPDDR3,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/2df4abf506653f01b6794329c476c706.jpg?h=742&w=816
Kompiuteris Asus ZenBook 14 UX433FAC Mėlyna,https://www.senukai.lt/p/kompiuteris-asus-zenbook-14-ux433fac-melyna/eg2m?cat=5ei&index=30,999,Asus,1920 x 1080,Intel® Core™ i5,LPDDR3,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/1ef02398c01a002858da56b2071c89e2.jpg?h=742&w=816
Nešiojamas kompiuteris Huawei MateBook D15 R5 W10 Grey,https://www.senukai.lt/p/nesiojamas-kompiuteris-huawei-matebook-d15-r5-w10-grey/f08d?cat=5ei&index=31,699,Huawei,1920 x 1080,AMD Ryzen 5,DDR4,8,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/388ecedbf9746ab54d6812f768f79c63.jpg?h=742&w=816
Lenovo IdeaPad 3-15ADA 81W1005LPB,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005lpb/ezz6?cat=5ei&index=32,533.62,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,8,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/cb5c92e3371a1d7be6769828ed64cbbe.jpg?h=742&w=816
Kompiuteris Asus 15 A512JA I3 256GB W10,https://www.senukai.lt/p/kompiuteris-asus-15-a512ja-i3-256gb-w10/fby2?cat=5ei&index=33,629,Asus,1080x1920,Intel® Core™ i3,DDR4,4,256,Intel HD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/0ab1bab88b0bfaaba41f589d1eccc01f.jpg?h=742&w=816
Nešiojamas kompiuteris Dell Inspiron 15 3593 i3 DOS,https://www.senukai.lt/p/nesiojamas-kompiuteris-dell-inspiron-15-3593-i3-dos/fbv1?cat=5ei&index=34,699,Dell,1080x1920,Intel® Core™ i3,DDR4,8,256,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/72a0aa1d609609db47fa9b9a45154b11.jpg?h=742&w=816
Kompiuteris Lenovo IP 3 I3 256GB W10,https://www.senukai.lt/p/kompiuteris-lenovo-ip-3-i3-256gb-w10/fby4?cat=5ei&index=35,619,Lenovo,1080x1920,Intel® Core™ i3,DDR4,8,256,Intel HD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/a814c5135876a1d8e67731c4e6631c7b.jpeg?h=742&w=816
Kompiuteris nešiojamas Lenovo Ideapad 5 I5 512gb Dos,https://www.senukai.lt/p/kompiuteris-nesiojamas-lenovo-ideapad-5-i5-512gb-dos/ffgp?cat=5ei&index=36,699,Lenovo,1080x1920,Intel® Core™ i5,DDR4,8,512,Intel HD Graphics,,https://ksd-images.lt/display/aikido/store/f486a200b85e4d1503dcd760159e3b56.jpeg?h=742&w=816
Kompiuteris nešiojamas Lenovo Legion Ryzen 5 512GB dos,https://www.senukai.lt/p/kompiuteris-nesiojamas-lenovo-legion-ryzen-5-512gb-dos/fby3?cat=5ei&index=37,999,Lenovo,1080x1920,AMD Ryzen 5,DDR4,8,512,GeForce GTX 1650,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/76d8699cc59fac68b51ad83e861a8dba.jpg?h=742&w=816
Dell Vostro 14 5401 Grey N5111VN5401EMEA01_2101_ubu,https://www.senukai.lt/p/dell-vostro-14-5401-grey-n5111vn5401emea01_2101_ubu/fe7q?cat=5ei&index=38,1044.07,Dell,1920 x 1080,Intel® Core™ i5,DDR4,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/14fb6638b577ad834a4b9ad871b2db07.jpg?h=742&w=816
Kompiuteris nešiojamas DELL Vostro 3491 i3 W10,https://www.senukai.lt/p/kompiuteris-nesiojamas-dell-vostro-3491-i3-w10/f3mh?cat=5ei&index=39,649,Dell,1080x1920,Intel® Core™ i3,DDR4,8,256,Intel HD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/282de1885cffb01ca5c593d01e8d670a.jpeg?h=742&w=816
Acer Nitro 5 AN517-52-57U2 Black,https://www.senukai.lt/p/acer-nitro-5-an517-52-57u2-black/eood?cat=5ei&index=40,924,Acer,1920 x 1080,Intel® Core™ i5,DDR4,8,512,GeForce GTX 1650,4 GB GDDR5,https://ksd-images.lt/display/aikido/store/b66663d20bb440cfe2a8aa219f81b8c5.jpg?h=742&w=816
Lenovo Legion 5-15 81Y600DTLT,https://www.senukai.lt/p/lenovo-legion-5-15-81y600dtlt/f3as?cat=5ei&index=41,989,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,256,GeForce GTX 1660 Ti,6 GB GDDR6,https://ksd-images.lt/display/aikido/store/1e3628060337b388dd4ffbce4f20f608.jpg?h=742&w=816
Asus ZenBook 13 UX325JA-AH090R EN,https://www.senukai.lt/p/asus-zenbook-13-ux325ja-ah090r-en/eyzp?cat=5ei&index=42,906.06,Asus,1920 x 1080,Intel® Core™ i5,LPDDR4X,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/ee900db9690b802df535c9dd44ff482e.jpg?h=742&w=816
Kompiuteris Lenovo L340 i5 512GB DOS,https://www.senukai.lt/p/kompiuteris-lenovo-l340-i5-512gb-dos/f4kw?cat=5ei&index=43,799,Lenovo,1080x1920,Intel® Core™ i5,DDR4,8,512,GeForce GTX 1050,3 GB GDDR5,https://ksd-images.lt/display/aikido/store/77e3f3c7d8ee863d945c0102ec32524b.jpg?h=742&w=816
Lenovo IdeaPad L340-15IRH Gaming 81LK01CGPB PL,https://www.senukai.lt/p/lenovo-ideapad-l340-15irh-gaming-81lk01cgpb-pl/ezyj?cat=5ei&index=44,985.99,Lenovo,1920 x 1080,Intel® Core™ i7,DDR4,8,512,GeForce GTX 1050,3 GB GDDR5,https://ksd-images.lt/display/aikido/store/e3d3c128a9b41269e038460493a5c12c.jpg?h=742&w=816
Asus ROG Zephyrus S GX701LWS-HG019T 300Hz PL,https://www.senukai.lt/p/asus-rog-zephyrus-s-gx701lws-hg019t-300hz-pl/f2wt?cat=5ei&index=45,2613,Asus,1920 x 1080,Intel® Core™ i7,DDR4,16,1,GeForce RTX 2070 Super,8 GB GDDR6,https://ksd-images.lt/display/aikido/store/61db191fd638b9cc0ef818b522678e41.jpg?h=742&w=816
Kompiuteris nešiojamas Lenovo IP C340-14 I5 DOS,https://www.senukai.lt/p/kompiuteris-nesiojamas-lenovo-ip-c340-14-i5-dos/f4kx?cat=5ei&index=46,799,Lenovo,1080x1920,Intel® Core™ i5,DDR4,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/66cc11ae84d5f0240440de805dd7c8fb.jpeg?h=742&w=816
Lenovo IdeaPad 3-15IMH 81Y400JJPB,https://www.senukai.lt/p/lenovo-ideapad-3-15imh-81y400jjpb/ezx3?cat=5ei&index=47,894.02,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,8,512,GeForce GTX 1650 Ti,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/50edcaad575f48f0498df3999b24a064.jpg?h=742&w=816
Lenovo IdeaPad 3-17ADA AMD Platinum Gray 81W2002DPB,https://www.senukai.lt/p/lenovo-ideapad-3-17ada-amd-platinum-gray-81w2002dpb/exy2?cat=5ei&index=48,560.01,Lenovo,1600 x 900,AMD Ryzen 3,DDR4,4,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/703717709ed3ecdecbae70b458eb4744.jpg?h=742&w=816
